GroundTruth_DTCO,GroundTruth_DTSM,GradientBoostingRegressor_DTCO,GradientBoostingRegressor_DTSM,RandomForestRegressor_DTCO,RandomForestRegressor_DTSM,MLP_DTCO,MLP_DTSM,LinearRegression_DTCO,LinearRegression_DTSM,SVR_DTCO,SVR_DTSM
83.368835449,161.79719543,66.79770320272553,122.6127763411119,56.72832771318001,115.71537170530002,76.73266942506439,159.00681598246433,102.14018637051196,219.2977586708784,73.88076849417726,130.91897311562462
81.411087036,157.44294739,66.79770320272553,122.6127763411119,56.72832771318001,115.71537170530002,76.65723789847048,158.8981919641276,102.14490863840336,219.3251142020061,73.8347393466476,130.81403599759997
82.479614258,154.58306885,66.79770320272553,122.6127763411119,56.72780509966,115.71537170530002,76.81669686942055,159.12757078408416,102.13492000096872,219.26724427055268,73.93221679080817,131.03670788849044
81.043449402,148.57963562,66.79770320272553,122.6127763411119,56.72780509966,115.71537170530002,76.77416930216016,159.06580310615888,102.13756968096185,219.28257876453148,73.90689268704938,130.98003145036807
78.320953369,141.13798523,66.7794216535545,122.44717852448116,56.72780509966,115.71537170530002,77.0363427983854,159.4428087616851,102.1211438836059,219.18741111724503,74.06667903971646,131.34501228315574
78.312805176,138.84231567,67.30906890817602,122.44717852448116,56.84084510819,115.71537170530002,77.39387402074196,159.95716831031672,102.09874922558129,219.05766757207212,74.28278321831571,131.8375056068831
78.501464844,140.25643921,67.46802526079799,122.44717852448116,57.18732570662999,115.6521083079,77.63747933177646,160.30808591222106,102.08350154341788,218.96934287851548,74.42850495800087,132.16825469693154
78.837287903,144.4105072,68.04030137076722,124.63624830570252,57.18732570662999,115.6273797617,77.79395115749232,160.53401237634372,102.07372037854007,218.91269865722143,74.52109966553792,132.37719000200747
79.118606567,146.79208374,68.04030137076722,124.63624830570252,57.76298862470999,115.4338481152,78.1261438430563,161.0126248189901,102.05292986339464,218.79226853396503,74.7176288790071,132.8221733123669
79.92276001,151.38937378,68.04030137076722,124.63624830570252,57.76298862470999,115.4338481152,78.02969076815066,160.87515125302406,102.05900242737096,218.8274861039019,74.65913929056333,132.68687225972258
81.209518433,158.03196716,68.04030137076722,124.63624830570252,57.76298862470999,115.4338481152,78.03182599826343,160.8785278543286,102.05887602825123,218.82676236338364,74.66008083492166,132.68841196930447
81.898872375,158.05853271,68.04030137076722,124.63624830570252,57.76298862470999,115.7417836773,77.9492754494607,160.7596666771119,102.06404431992244,218.8567020633442,74.61119732059856,132.5775970021712
82.459487915,158.05853271,67.46802526079799,124.63624830570252,57.18732570662999,115.6273797617,77.70360445672439,160.40623892829475,102.07943251564896,218.9458537784287,74.46481956160491,132.24491940626743
82.878768921,158.05853271,67.30906890817602,122.44717852448116,56.77685798661,115.71537170530002,77.32122760937571,159.8566869158825,102.10339671895942,219.08470596870472,74.23469831958921,131.7200997105249
83.395523071,158.05853271,67.30906890817602,122.44717852448116,56.88758491531999,115.66744583250002,77.49878770369698,160.1123253148087,102.0922795496192,219.0203040161391,74.34133491049931,131.96253196420471
83.543228149,173.43598938,68.04030137076722,124.63624830570252,57.18732570662999,115.6273797617,77.73064169915084,160.4467273739917,102.07777734262342,218.93630919255588,74.47927184965317,132.2746615564833
83.182327271,209.70359802,68.80348591164636,124.63624830570252,58.35528186813998,115.21909271360002,78.31572262015366,161.28930013074825,102.04115016971114,218.72413338417573,74.82532465099128,133.0587492561364
83.487297058,191.34147644,68.76582880323106,124.63624830570252,58.65348258987,115.21909271360002,79.03258246041047,162.32129434061838,101.99626488300454,218.4641096326598,75.24295972554617,134.00281033303622
83.310920715,176.19764709,68.76582880323106,124.63624830570252,58.52241390242999,115.21909271360002,79.13937619597378,162.47578294838505,101.98959615182216,218.42549818316112,75.30374817602599,134.13847522583544
82.212944031,176.46836853,68.80348591164636,124.63624830570252,58.73027065291999,115.21909271360002,78.57033490546682,161.6571943385521,102.02524055556935,218.6320058212148,74.97308187742388,133.390456994335
83.490539551,177.45431519,68.04030137076722,124.63624830570252,57.76298862470999,115.4338481152,78.10018973780089,160.98035957303912,102.0546778219512,218.8025377245077,74.69687642976278,132.7651136981397
84.795890808,183.81126404,68.04030137076722,124.63624830570252,57.76298862470999,115.4338481152,78.00723085495115,160.84561205756594,102.06047606859838,218.8361014629193,74.64286782197496,132.6444848639871
85.312652588,200.91767883,68.80348591164636,124.63624830570252,58.73027065291999,115.21909271360002,78.57514858020417,161.66135823179704,102.0248724934384,218.62979595711604,74.97882053017344,133.40888175258434
84.966003418,189.551651,68.76582880323106,124.63624830570252,58.09662479413001,114.71399391250002,80.09302773931442,163.84406943498556,101.92977372930956,218.0788135331965,75.85092407892292,135.37878768292646
84.759063721,175.11883545,70.78858488971537,124.63624830570252,59.25834213253002,113.47253158698004,81.67342270447121,166.11790442485642,101.83078774808834,217.50534378299125,76.72090391398964,137.3264289522559
85.45262146,170.6484375,72.18281128856832,124.63624830570252,60.083907432520014,113.04985717888005,82.74396660151787,167.64700713163168,101.76383901942842,217.11747184629525,77.2877305848133,138.58708284828288
85.731582642,169.35299683,72.18281128856832,124.63624830570252,60.48755126951001,113.04985717888005,83.11590634649673,168.15758738852406,101.74075640510053,216.9837145041651,77.47977341476812,139.01438994773466
85.994873047,169.556427,72.18281128856832,124.63624830570252,60.00627658841002,113.32754272598004,82.69246938446156,167.5737356966371,101.76695775513151,217.13545945723257,77.26405477952376,138.5403135456706
86.649246216,171.32939148,70.78858488971537,124.63624830570252,59.02096282963001,113.62705879338002,81.50115230943116,165.8647398554005,101.84144980204108,217.56696487689527,76.63336388435516,137.1417064651834
